trade_id,signal_entry_date,execution_entry_date,signal_exit_date,execution_exit_date,entry_price_signal,entry_price_execution,exit_price_signal,exit_price_execution,gross_return,net_return,holding_bars,holding_days,fees_paid,slippage_paid
2,2023-03-12 04:00:00+00:00,2023-03-12 08:00:00+00:00,2023-05-12 04:00:00+00:00,2023-05-12 08:00:00+00:00,19195.0,19237.0,24127.0,24214.0,0.25872017466340913,0.2524422685553622,365,60.83333333333333,0.004,0.001
3,2023-05-13 00:00:00+00:00,2023-05-13 04:00:00+00:00,2023-05-22 00:00:00+00:00,2023-05-22 04:00:00+00:00,24725.0,24689.0,24635.0,24845.0,0.006318603426627156,0.0012995580230033,54,9.0,0.004,0.001
4,2023-05-22 12:00:00+00:00,2023-05-22 16:00:00+00:00,2023-05-24 04:00:00+00:00,2023-05-24 08:00:00+00:00,24880.0,24820.0,24742.0,24819.0,-4.0290088638150756e-05,-0.005027620312634817,10,1.6666666666666665,0.004,0.001
5,2023-05-26 20:00:00+00:00,2023-05-27 00:00:00+00:00,2023-06-01 12:00:00+00:00,2023-06-01 16:00:00+00:00,24910.0,24957.0,25028.0,24961.0,0.00016027567415966004,-0.004828054877831223,34,5.666666666666666,0.004,0.001
6,2023-06-02 08:00:00+00:00,2023-06-02 12:00:00+00:00,2023-06-05 00:00:00+00:00,2023-06-05 04:00:00+00:00,25214.0,25286.0,25098.0,25106.0,-0.007118563632049324,-0.012070590746103949,16,2.6666666666666665,0.004,0.001
7,2023-06-21 00:00:00+00:00,2023-06-21 04:00:00+00:00,2023-07-17 16:00:00+00:00,2023-07-17 20:00:00+00:00,26276.0,26419.0,26651.0,26855.0,0.016503274158749415,0.011433432392371712,160,26.666666666666664,0.004,0.001
8,2023-07-21 20:00:00+00:00,2023-07-22 00:00:00+00:00,2023-07-22 16:00:00+00:00,2023-07-22 20:00:00+00:00,26898.0,26897.0,26811.0,26799.0,-0.003643529018106162,-0.008612887975621764,5,0.8333333333333333,0.004,0.001
9,2023-07-23 16:00:00+00:00,2023-07-23 20:00:00+00:00,2023-07-24 00:00:00+00:00,2023-07-24 04:00:00+00:00,27039.0,27061.0,26738.0,26935.0,-0.004656147222940721,-0.009620455715594334,2,0.3333333333333333,0.004,0.001
10,2023-08-08 20:00:00+00:00,2023-08-09 00:00:00+00:00,2023-08-09 16:00:00+00:00,2023-08-09 20:00:00+00:00,27130.0,27074.0,26792.0,26921.0,-0.005651178252197631,-0.010610523996575583,5,0.8333333333333333,0.004,0.001
11,2023-08-14 20:00:00+00:00,2023-08-15 00:00:00+00:00,2023-08-15 08:00:00+00:00,2023-08-15 12:00:00+00:00,26959.0,26898.0,26827.0,26802.0,-0.003569038590229723,-0.008538769071076313,3,0.5,0.004,0.001
12,2023-10-02 08:00:00+00:00,2023-10-02 12:00:00+00:00,2023-10-02 20:00:00+00:00,2023-10-03 00:00:00+00:00,26764.0,26717.0,26251.0,26357.0,-0.013474566755249495,-0.018394893105597276,3,0.5,0.004,0.001
13,2023-10-17 00:00:00+00:00,2023-10-17 04:00:00+00:00,2024-05-01 04:00:00+00:00,2024-05-01 08:00:00+00:00,26814.0,26954.0,53799.0,54198.0,1.0107590710098688,1.0007303474636853,1175,195.83333333333331,0.004,0.001
14,2024-05-02 16:00:00+00:00,2024-05-02 20:00:00+00:00,2024-06-11 12:00:00+00:00,2024-06-11 16:00:00+00:00,55384.0,55066.0,61754.0,62875.0,0.14181164420876757,0.1361168230406442,239,39.83333333333333,0.004,0.001
15,2024-06-12 00:00:00+00:00,2024-06-12 04:00:00+00:00,2024-06-13 12:00:00+00:00,2024-06-13 16:00:00+00:00,62797.0,62798.0,61810.0,62027.0,-0.012277461065638984,-0.01720375801792995,9,1.5,0.004,0.001
16,2024-07-26 16:00:00+00:00,2024-07-26 20:00:00+00:00,2024-07-29 20:00:00+00:00,2024-07-30 00:00:00+00:00,62645.0,62522.0,61726.0,61541.0,-0.015690476952112897,-0.02059975138127923,19,3.1666666666666665,0.004,0.001
17,2024-09-27 12:00:00+00:00,2024-09-27 16:00:00+00:00,2024-09-30 00:00:00+00:00,2024-09-30 04:00:00+00:00,59154.0,58821.0,57854.0,57789.0,-0.017544754424440256,-0.022444780586911794,15,2.5,0.004,0.001
18,2024-10-14 08:00:00+00:00,2024-10-14 12:00:00+00:00,2025-02-17 08:00:00+00:00,2025-02-17 12:00:00+00:00,59288.0,60147.0,91685.0,91355.0,0.5188621211365487,0.5112867489613042,752,125.33333333333333,0.004,0.001
19,2025-02-20 04:00:00+00:00,2025-02-20 12:00:00+00:00,2025-02-21 16:00:00+00:00,2025-02-21 20:00:00+00:00,92866.0,92541.0,91091.0,91998.0,-0.005867669465426162,-0.010825935453129598,8,1.3333333333333333,0.004,0.001
20,2025-05-08 12:00:00+00:00,2025-05-08 16:00:00+00:00,2025-06-22 12:00:00+00:00,2025-06-22 16:00:00+00:00,89567.0,90192.0,85770.0,85865.0,-0.047975430193365254,-0.0527236824118521,269,44.83333333333333,0.004,0.001
21,2025-06-23 04:00:00+00:00,2025-06-23 08:00:00+00:00,2025-08-19 16:00:00+00:00,2025-08-19 20:00:00+00:00,88693.0,88281.0,97120.0,96953.0,0.09823178260327814,0.09275431735338668,341,56.83333333333333,0.004,0.001
22,2025-08-20 08:00:00+00:00,2025-08-20 12:00:00+00:00,2025-08-20 12:00:00+00:00,2025-08-20 16:00:00+00:00,97600.0,97301.0,97301.0,98082.0,0.008026638986238677,0.0029990747020181008,1,0.16666666666666666,0.004,0.001
