name,timeframe,sma_window,buffer,entry_persistence,exit_persistence,confirmation_price,start,end,final_equity,total_return,cagr,sharpe,calmar,max_drawdown,fee_drag,fee_only_drag,slippage_drag,turnover,rebalances,avg_exposure
Distance buffer 4H corrected,4h,750,0.035,3,3,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,30723.450885783524,2.0723450885783525,0.4284649835656005,1.2167083784595418,2.005429573744757,-0.21365247085965922,0.14029833234541894,0.10628661541319616,0.03401171693222277,26.0,26,0.5423951048951049
Distance buffer 4H corrected,4h,800,0.03,2,2,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,29878.987387183475,1.9878987387183473,0.4158723823653834,1.189776912193332,1.8470396944573313,-0.22515616941712158,0.2510658123464953,0.1902013729897692,0.06086443935672614,36.0,36,0.5533216783216783
Distance buffer 4H corrected,4h,800,0.035,3,3,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,27796.67166164147,1.7796671661641472,0.38374753179100063,1.1284613614870778,1.7577490308467807,-0.21831758974495552,0.1873579164905829,0.14193781552316886,0.045420100967414036,30.0,30,0.5442890442890443
Distance buffer 4H corrected,4h,800,0.025,3,3,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,29379.458440555183,1.9379458440555184,0.408308748745454,1.17082389576117,1.692635994141196,-0.24122655441497942,0.18399259309309288,0.13938832810082794,0.04460426499226494,32.0,32,0.5657051282051282
Distance buffer 4H corrected,4h,750,0.03,3,3,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,28491.521878419233,1.8491521878419235,0.3946444961468334,1.142800383229122,1.6868573759465562,-0.2339524975698578,0.181533818677671,0.1375256202103568,0.04400819846731418,32.0,32,0.5527389277389277
Distance buffer 4H corrected,4h,800,0.03,3,3,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,30273.915590997156,2.0273915590997156,0.4217913557141748,1.2002787267234145,1.6688808818964096,-0.25273904224660904,0.21144456712730994,0.16018527812674999,0.05125928900055999,30.0,30,0.5531759906759907
Distance buffer 4H corrected,4h,700,0.035,3,3,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,27705.270798110378,1.7705270798110377,0.3823003587984666,1.1262485919405487,1.6512368983680623,-0.2315236288483492,0.18471849701499057,0.13993825531438678,0.044780241700603775,33.0,33,0.525495337995338
Distance buffer 4H corrected,4h,750,0.035,2,2,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,28586.26203519854,1.858626203519854,0.3961161586724522,1.1502306105830464,1.6425394632733084,-0.24116081685067003,0.2044778133757509,0.15490743437556884,0.04957037900018204,38.0,38,0.5421037296037297
Distance buffer 4H corrected,4h,700,0.03,3,3,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,28363.32352220782,1.836332352220782,0.3926477795326506,1.1449915266443516,1.6285024636239658,-0.24110972399690278,0.2201078564494629,0.16674837609807797,0.05335948035138494,39.0,39,0.5412296037296037
Distance buffer 4H corrected,4h,750,0.025,3,3,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,26798.779280959297,1.6798779280959297,0.3677681119184777,1.0835640686935908,1.619186299443289,-0.22713143758993282,0.2077576198245776,0.15739213623074066,0.05036548359383701,36.0,36,0.5667249417249417
Distance buffer 4H corrected,4h,750,0.03,2,2,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,28416.839374409916,1.8416839374409917,0.39348204748665805,1.1422316862289168,1.5857747886937186,-0.24813236425002616,0.2848362814974275,0.21578506174047543,0.06905121975695214,50.0,50,0.5517191142191142
Distance buffer 4H corrected,4h,700,0.025,3,3,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,28145.867590487163,1.8145867590487161,0.38924672936889837,1.1312827733687536,1.5752370468681691,-0.24710358999160476,0.24637925238598776,0.18665094877726343,0.05972830360872431,41.0,41,0.5600233100233101
Distance buffer 4H corrected,4h,750,0.035,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,26770.757334011854,1.6770757334011854,0.36731357513004004,1.0897406618989909,1.566312652207128,-0.2345084645855665,0.45518881992414006,0.3448400150940455,0.11034880483009459,76.0,76,0.5416666666666666
Distance buffer 4H corrected,4h,800,0.035,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,28172.432671580955,1.8172432671580956,0.38966317123801075,1.137775649026658,1.5512067254688953,-0.2512000269469076,0.3680911603757743,0.2788569396786169,0.0892342206971574,52.0,52,0.5447261072261073
Distance buffer 4H corrected,4h,800,0.035,2,2,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,26449.88823051555,1.644988823051555,0.36208554807551496,1.0820861699904791,1.544823489605403,-0.23438635579525213,0.21809317271578266,0.16522210054225958,0.05287107217352307,34.0,34,0.5448717948717948
Distance buffer 4H corrected,4h,700,0.035,2,2,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,26455.202775194368,1.6455202775194366,0.3621724911761175,1.0828990252518225,1.5184566826863444,-0.2385135482003925,0.26955280111702296,0.20420666751289615,0.06534613360412678,49.0,49,0.5260780885780886
Distance buffer 4H corrected,4h,700,0.025,2,2,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,28053.159803346087,1.8053159803346088,0.38779131089441954,1.1286578389683066,1.5179170226586651,-0.25547596153523233,0.3217519456064158,0.2437514739442544,0.07800047166216141,53.0,53,0.5585664335664335
Distance buffer 4H corrected,4h,750,0.025,2,2,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,25750.475165104726,1.5750475165104727,0.35053795723472736,1.0461312102773956,1.4142314710043278,-0.24786462783619856,0.29490307942663146,0.22341142380805412,0.07149165561857733,48.0,48,0.566579254079254
Distance buffer 4H corrected,4h,800,0.025,2,2,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,26668.896783175293,1.666889678317529,0.3656585814227513,1.0811773651988505,1.3991959698903818,-0.26133478747183525,0.36276494081406835,0.27482192485914264,0.08794301595492565,56.0,56,0.5664335664335665
Distance buffer 4H corrected,4h,700,0.03,2,2,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,25923.69341620563,1.592369341620563,0.353417605534192,1.061139855962263,1.3050593285640124,-0.2708057770239961,0.30206668433655526,0.2288383972246631,0.07322828711189219,57.0,57,0.5412296037296037
Distance buffer 4H corrected,4h,700,0.025,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,23882.013092379602,1.3882013092379601,0.31860109207248133,0.9802186834135999,1.2573783309089603,-0.2533852256243069,0.5921926384072606,0.44863078667216716,0.14356185173509348,103.0,103,0.557983682983683
Distance buffer 4H corrected,4h,700,0.03,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,24083.636997658883,1.4083636997658884,0.32212769100160643,0.9924440771747847,1.123334186712089,-0.28676033794043865,0.564345475985483,0.42753445150415376,0.1368110244813292,107.0,107,0.5421037296037297
Distance buffer 4H corrected,4h,750,0.03,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,23977.575248003537,1.3977575248003538,0.3202750895376456,0.9841734088117918,1.1183379941153593,-0.28638487757987097,0.4882623012115991,0.36989568273605994,0.11836661847553917,94.0,94,0.5523018648018648
Distance buffer 4H corrected,4h,750,0.025,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,23456.58307387059,1.3456583073870592,0.31109270359010077,0.9599563696464236,1.0910595165942196,-0.28512899512685386,0.5539681078689979,0.4196728089916651,0.13429529887733282,94.0,94,0.5661421911421911
Distance buffer 4H corrected,4h,800,0.03,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,24669.21804286213,1.4669218042862129,0.3322571888091921,1.0098730908488704,1.0479920893799626,-0.31704169542517235,0.5053247731277916,0.38282179782408454,0.12250297530370706,74.0,74,0.5546328671328671
Distance buffer 4H corrected,4h,700,0.035,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,23662.98970461288,1.3662989704612878,0.3147470633855387,0.9787704913814852,1.0273040966631724,-0.3063815908141331,0.44536404434011084,0.3373970032879628,0.10796704105214808,91.0,91,0.5266608391608392
Distance buffer 4H corrected,4h,800,0.025,1,1,close,2023-02-23 20:00:00+00:00,2026-04-18 12:00:00+00:00,22447.891681821595,1.2447891681821597,0.29291135515043565,0.9211577831979851,0.9364951791445942,-0.31277401280162953,0.5752361042990203,0.43578492749925773,0.13945117679976246,96.0,96,0.5664335664335665
