trade_id,signal_entry_date,execution_entry_date,signal_exit_date,execution_exit_date,entry_price_signal,entry_price_execution,exit_price_signal,exit_price_execution,gross_return,net_return,holding_bars,holding_days,fees_paid,slippage_paid
1,2019-07-10 00:00:00+00:00,2019-07-11 00:00:00+00:00,2019-08-29 00:00:00+00:00,2019-08-30 00:00:00+00:00,10783.0,10097.0,8570.7,8734.4,-0.1349509755372883,-0.13926543451216467,50,50.0,0.004,0.001
2,2019-08-30 00:00:00+00:00,2019-08-31 00:00:00+00:00,2019-09-18 00:00:00+00:00,2019-09-19 00:00:00+00:00,8734.4,8771.7,9206.8,9311.4,0.06152741201819478,0.0562330109607474,19,19.0,0.004,0.001
3,2019-09-19 00:00:00+00:00,2019-09-20 00:00:00+00:00,2019-09-20 00:00:00+00:00,2019-09-21 00:00:00+00:00,9311.4,9228.1,9228.1,9053.8,-0.018887961768944916,-0.023781288642915177,1,1.0,0.004,0.001
4,2020-01-14 00:00:00+00:00,2020-01-15 00:00:00+00:00,2020-02-29 00:00:00+00:00,2020-03-01 00:00:00+00:00,7939.7,7901.8,7750.0,7722.6,-0.02267837707864029,-0.027552799138098383,46,46.0,0.004,0.001
5,2020-03-02 00:00:00+00:00,2020-03-03 00:00:00+00:00,2020-03-08 00:00:00+00:00,2020-03-09 00:00:00+00:00,8006.8,7847.4,7068.9,6963.3,-0.1126615184647144,-0.11708714680154864,6,6.0,0.004,0.001
6,2020-04-29 00:00:00+00:00,2020-04-30 00:00:00+00:00,2020-09-03 00:00:00+00:00,2020-09-04 00:00:00+00:00,8075.6,7873.3,8623.7,8853.8,0.1245348202151575,0.11892616774525644,127,127.0,0.004,0.001
7,2020-09-15 00:00:00+00:00,2020-09-16 00:00:00+00:00,2020-09-21 00:00:00+00:00,2020-09-22 00:00:00+00:00,9117.4,9291.4,8875.6,9004.6,-0.030867253589340615,-0.03570083337193719,6,6.0,0.004,0.001
8,2020-09-24 00:00:00+00:00,2020-09-25 00:00:00+00:00,2020-09-28 00:00:00+00:00,2020-09-29 00:00:00+00:00,9193.4,9193.7,9163.6,9240.3,0.005068688340928995,5.587692775743669e-05,4,4.0,0.004,0.001
9,2020-09-29 00:00:00+00:00,2020-09-30 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020-10-02 00:00:00+00:00,9240.3,9201.6,9051.9,9023.5,-0.019355329507911745,-0.024246325370715027,2,2.0,0.004,0.001
10,2020-10-08 00:00:00+00:00,2020-10-09 00:00:00+00:00,2021-05-12 00:00:00+00:00,2021-05-13 00:00:00+00:00,9288.7,9361.1,41088.0,41240.0,3.4054651696915963,3.383492774830292,215,215.0,0.004,0.001
