trade_id,signal_entry_date,execution_entry_date,signal_exit_date,execution_exit_date,entry_price_signal,entry_price_execution,exit_price_signal,exit_price_execution,gross_return,net_return,holding_bars,holding_days,fees_paid,slippage_paid
1,2023-02-24 00:00:00+00:00,2023-02-24 04:00:00+00:00,2023-03-10 08:00:00+00:00,2023-03-10 12:00:00+00:00,22628.0,22530.0,18673.0,18760.0,-0.1673324456280515,-0.1714854010114525,86,14.333333333333332,0.004,0.001
2,2023-03-12 04:00:00+00:00,2023-03-12 08:00:00+00:00,2023-05-24 20:00:00+00:00,2023-05-25 00:00:00+00:00,19195.0,19237.0,24500.0,24435.0,0.27020845246140257,0.2638732482097248,441,73.5,0.004,0.001
3,2023-05-26 20:00:00+00:00,2023-05-27 00:00:00+00:00,2023-06-05 16:00:00+00:00,2023-06-05 20:00:00+00:00,24910.0,24957.0,24004.0,24080.0,-0.03514044155948226,-0.03995270868387368,59,9.833333333333332,0.004,0.001
4,2023-06-07 00:00:00+00:00,2023-06-07 04:00:00+00:00,2023-06-07 12:00:00+00:00,2023-06-07 16:00:00+00:00,25152.0,25064.0,24637.0,24775.0,-0.011530481966166573,-0.01646050450000114,3,0.5,0.004,0.001
5,2023-06-21 00:00:00+00:00,2023-06-21 04:00:00+00:00,2023-07-18 08:00:00+00:00,2023-07-18 12:00:00+00:00,26276.0,26419.0,26597.0,26696.0,0.010484878307278844,0.0054450534778163195,164,27.333333333333332,0.004,0.001
6,2023-08-09 00:00:00+00:00,2023-08-09 04:00:00+00:00,2023-08-10 00:00:00+00:00,2023-08-10 04:00:00+00:00,27074.0,27116.0,26935.0,26777.0,-0.012501843929783152,-0.01742702176554467,6,1.0,0.004,0.001
7,2023-10-02 12:00:00+00:00,2023-10-02 16:00:00+00:00,2023-10-03 04:00:00+00:00,2023-10-03 08:00:00+00:00,26717.0,26659.0,26275.0,26316.0,-0.012866199032221748,-0.017789559635552177,4,0.6666666666666666,0.004,0.001
8,2023-10-17 00:00:00+00:00,2023-10-17 04:00:00+00:00,2024-06-17 08:00:00+00:00,2024-06-17 12:00:00+00:00,26814.0,26954.0,61413.0,60908.0,1.2597017140313125,1.2484313812930021,1458,243.0,0.004,0.001
9,2024-07-27 12:00:00+00:00,2024-07-27 16:00:00+00:00,2024-07-28 04:00:00+00:00,2024-07-28 08:00:00+00:00,63294.0,62827.0,62173.0,62464.0,-0.005777770703678353,-0.010736485064258394,4,0.6666666666666666,0.004,0.001
10,2024-07-29 00:00:00+00:00,2024-07-29 04:00:00+00:00,2024-07-30 00:00:00+00:00,2024-07-30 04:00:00+00:00,63719.0,63937.0,61541.0,61879.0,-0.032187934998514134,-0.03701492784141425,6,1.0,0.004,0.001
11,2024-10-14 08:00:00+00:00,2024-10-14 12:00:00+00:00,2025-02-24 08:00:00+00:00,2025-02-24 12:00:00+00:00,59288.0,60147.0,91553.0,90141.0,0.49867823831612546,0.4912035338856213,793,132.16666666666666,0.004,0.001
12,2025-05-08 20:00:00+00:00,2025-05-09 00:00:00+00:00,2025-08-24 20:00:00+00:00,2025-08-25 00:00:00+00:00,91867.0,91181.0,96827.0,96409.0,0.05733650650903144,0.052063007723450294,643,107.16666666666666,0.004,0.001
13,2025-10-01 20:00:00+00:00,2025-10-02 00:00:00+00:00,2025-10-11 04:00:00+00:00,2025-10-11 08:00:00+00:00,101049.0,101188.0,96790.0,98960.0,-0.022018421156658863,-0.026896134766850044,56,9.333333333333332,0.004,0.001
