trade_id,signal_entry_datetime,execution_entry_datetime,signal_exit_datetime,execution_exit_datetime,entry_signal_price,entry_execution_price,exit_signal_price,exit_execution_price,gross_return,net_return,holding_bars,holding_days,round_trip_cost
1,2022-12-13 12:00:00+00:00,2022-12-13 16:00:00+00:00,2022-12-15 04:00:00+00:00,2022-12-15 08:00:00+00:00,16677.0,16678.0,16632.0,16680.0,0.00011991845545034074,-0.0048682108136541835,10,1.6666666666666665,0.005
2,2022-12-15 08:00:00+00:00,2022-12-15 12:00:00+00:00,2022-12-15 12:00:00+00:00,2022-12-15 16:00:00+00:00,16680.0,16363.0,16363.0,16390.0,0.0016500641691621354,-0.003345696749387117,1,0.16666666666666666,0.005
3,2023-01-11 16:00:00+00:00,2023-01-11 20:00:00+00:00,2023-02-05 12:00:00+00:00,2023-02-05 16:00:00+00:00,16299.0,16635.0,21398.0,21216.0,0.2753832281334536,0.2690222145268033,149,24.833333333333332,0.005
4,2023-02-15 16:00:00+00:00,2023-02-15 20:00:00+00:00,2023-02-24 12:00:00+00:00,2023-02-24 16:00:00+00:00,21799.0,22714.0,22176.0,21965.0,-0.03297525755040942,-0.03779832359753954,53,8.833333333333332,0.005
5,2023-03-13 12:00:00+00:00,2023-03-13 16:00:00+00:00,2023-04-02 16:00:00+00:00,2023-04-02 20:00:00+00:00,22323.0,22505.0,25837.0,26082.0,0.15894245723172618,0.15316219559964805,121,20.166666666666664,0.005
6,2023-04-02 20:00:00+00:00,2023-04-03 00:00:00+00:00,2023-04-03 00:00:00+00:00,2023-04-03 04:00:00+00:00,26082.0,25756.0,25756.0,25796.0,0.0015530361857432062,-0.0034422408027143803,1,0.16666666666666666,0.005
7,2023-04-10 16:00:00+00:00,2023-04-10 20:00:00+00:00,2023-04-17 08:00:00+00:00,2023-04-17 12:00:00+00:00,26853.0,27264.0,26973.0,26923.0,-0.01250733568075113,-0.017432486126233715,39,6.5,0.005
8,2023-04-18 08:00:00+00:00,2023-04-18 12:00:00+00:00,2023-04-19 08:00:00+00:00,2023-04-19 12:00:00+00:00,27680.0,27550.0,26844.0,26747.0,-0.0291470054446461,-0.033989165018488254,6,1.0,0.005
9,2023-05-28 20:00:00+00:00,2023-05-29 00:00:00+00:00,2023-05-31 04:00:00+00:00,2023-05-31 08:00:00+00:00,26162.0,26038.0,25452.0,25389.0,-0.024925109455411376,-0.029788325867104892,14,2.333333333333333,0.005
10,2023-06-20 16:00:00+00:00,2023-06-20 20:00:00+00:00,2023-07-06 20:00:00+00:00,2023-07-07 00:00:00+00:00,25630.0,25901.0,27502.0,27699.0,0.06941816918265697,0.06408441272788079,97,16.166666666666664,0.005
11,2023-09-14 12:00:00+00:00,2023-09-14 16:00:00+00:00,2023-09-14 20:00:00+00:00,2023-09-15 00:00:00+00:00,25048.0,25049.0,24930.0,24979.0,-0.002794522735438565,-0.007768116138254122,2,0.3333333333333333,0.005
12,2023-09-15 00:00:00+00:00,2023-09-15 04:00:00+00:00,2023-09-15 04:00:00+00:00,2023-09-15 08:00:00+00:00,24979.0,24900.0,24900.0,24789.0,-0.004457831325301198,-0.009423128924676227,1,0.16666666666666666,0.005
13,2023-09-18 08:00:00+00:00,2023-09-18 12:00:00+00:00,2023-09-18 20:00:00+00:00,2023-09-19 00:00:00+00:00,25486.0,25484.0,25028.0,25106.0,-0.014832836289436546,-0.019746388228142453,3,0.5,0.005
14,2023-09-19 08:00:00+00:00,2023-09-19 12:00:00+00:00,2023-09-21 08:00:00+00:00,2023-09-21 12:00:00+00:00,25437.0,25648.0,25138.0,24930.0,-0.027994385527136623,-0.032842293828746705,12,2.0,0.005
15,2023-09-28 12:00:00+00:00,2023-09-28 16:00:00+00:00,2023-09-29 00:00:00+00:00,2023-09-29 04:00:00+00:00,25515.0,25630.0,25482.0,25619.0,-0.00042918454935625405,-0.005414575150107348,3,0.5,0.005
16,2023-09-29 04:00:00+00:00,2023-09-29 08:00:00+00:00,2023-09-29 08:00:00+00:00,2023-09-29 12:00:00+00:00,25619.0,25457.0,25457.0,25403.0,-0.0021212240248261738,-0.0070981755259491575,1,0.16666666666666666,0.005
17,2023-10-01 08:00:00+00:00,2023-10-01 12:00:00+00:00,2023-10-01 12:00:00+00:00,2023-10-01 16:00:00+00:00,25720.0,25678.0,25678.0,25637.0,-0.0015966975621154456,-0.0065762651553217255,1,0.16666666666666666,0.005
18,2023-10-01 20:00:00+00:00,2023-10-02 00:00:00+00:00,2023-10-05 16:00:00+00:00,2023-10-05 20:00:00+00:00,26472.0,26586.0,26063.0,26014.0,-0.021515083126457557,-0.026395307150764435,23,3.833333333333333,0.005
19,2023-10-06 00:00:00+00:00,2023-10-06 04:00:00+00:00,2023-10-08 08:00:00+00:00,2023-10-08 12:00:00+00:00,26160.0,26212.0,26302.0,26372.0,0.006104074469708509,0.0010860990359444767,14,2.333333333333333,0.005
20,2023-10-08 12:00:00+00:00,2023-10-08 16:00:00+00:00,2023-10-09 08:00:00+00:00,2023-10-09 12:00:00+00:00,26372.0,26385.0,26106.0,26057.0,-0.01243130566609818,-0.017356835313648622,5,0.8333333333333333,0.005
21,2023-10-16 12:00:00+00:00,2023-10-16 16:00:00+00:00,2023-10-19 00:00:00+00:00,2023-10-19 04:00:00+00:00,26630.0,26945.0,26808.0,26892.0,-0.0019669697532009867,-0.006944690602312176,15,2.5,0.005
22,2023-10-19 04:00:00+00:00,2023-10-19 08:00:00+00:00,2023-11-14 08:00:00+00:00,2023-11-14 20:00:00+00:00,26892.0,26960.0,33868.0,32718.0,0.21357566765578628,0.20752292118368776,157,26.166666666666664,0.005
